clknet_leaf_92_clk_regs,412.71µm
clknet_leaf_82_clk_regs,410.88µm
u_core.top_state\[11\],410.02µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[9\],408.9µm
_02925_,408.44µm
clknet_leaf_87_clk_regs,408.18µm
clknet_leaf_64_clk_regs,407.62µm
clknet_leaf_67_clk_regs,407.11µm
u_core.u_transform_scheduler_core.dft12_active,407.01µm
clknet_leaf_83_clk_regs,406.55µm
clknet_leaf_13_clk_regs,406.19µm
_06233_,406.1µm
_05368_,404.93µm
_02991_,404.11µm
clknet_leaf_79_clk_regs,403.825µm
_05608_,403.76µm
_02521_,403.35µm
_05943_,402.28µm
dout_valid_o_PDRV0,401.62µm
_04227_,400.5µm
dout_valid_o_PDRV1,399.98µm
u_core.core_X2_q\[13\],399.94µm
_04383_,399.48µm
u_core.u_transform_scheduler_core.bf_X0_i\[9\],399.48µm
clknet_leaf_43_clk_regs,399.27µm
clknet_leaf_56_clk_regs,397.74µm
dout_OE[7],397.71µm
clknet_leaf_34_clk_regs,397.18µm
clknet_leaf_12_clk_regs,395.91µm
din[2],395.05µm
clknet_leaf_3_clk_regs,394.84µm
clknet_leaf_55_clk_regs,394.02µm
dout_valid_o_CS,393.82µm
clknet_leaf_72_clk_regs,393.67µm
clknet_leaf_86_clk_regs,392.7µm
clknet_leaf_57_clk_regs,392.6µm
_04207_,391.59µm
_03055_,391.18µm
_00004_,390.32µm
clknet_leaf_85_clk_regs,390.08µm
dout_valid_o_PU,389.545µm
u_core.u_transform_scheduler_core.mod_diag_addr1\[4\],389.25µm
clknet_leaf_5_clk_regs,389.21µm
dout_valid_o_IE,388.605µm
din[3],388.01µm
clknet_leaf_61_clk_regs,386.8µm
_08252_,386.5µm
_07883_,386.04µm
u_core.u_transform_scheduler_core.mod_diag_addr1\[5\],386.04µm
_03014_,385.38µm
u_core.u_transform_scheduler_core.fft128_tx_active,385.38µm
u_core.u_transform_scheduler_core.dft12_phase\[0\],385.35µm
clknet_leaf_78_clk_regs,385.17µm
_07230_,384.46µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[3\],384.31µm
_04442_,384.21µm
_07529_,384.21µm
u_core.u_transform_scheduler_core.dft12_ram_q\[10\]\[0\],383.85µm
_02672_,382.78µm
_02405_,382.58µm
clknet_leaf_77_clk_regs,382.26µm
clknet_leaf_10_clk_regs,381.5µm
clknet_leaf_81_clk_regs,381.2µm
u_core.core_X2_q\[11\],380.34µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.macro_addr\[2\],379.17µm
_08775_,378.76µm
clknet_leaf_39_clk_regs,378.55µm
_04195_,378.15µm
clknet_leaf_59_clk_regs,377.99µm
_04312_,377.54µm
_05458_,377.44µm
u_core.u_transform_scheduler_core.dft12_state\[1\],375.3µm
u_core.u_transform_scheduler_core.bf_X0_q\[13\],374.79µm
_03863_,374.33µm
clknet_leaf_89_clk_regs,373.97µm
