u_core.u_transform_scheduler_core.tx_dft12_hold_i\[0\]\[1\],11.76µm
_07263_,11.355µm
_02125_,11.35µm
_06571_,11.35µm
u_core.debug_read_latch\[10\],11.35µm
u_core.u_transform_scheduler_core.fifo_x2_i\[0\]\[1\],11.35µm
u_core.u_transform_scheduler_core.ofdm_sample_i\[2\],11.35µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.product_iq_reg\[3\],11.35µm
_02185_,11.3µm
_04033_,11.3µm
_04163_,11.3µm
_04649_,11.3µm
_04729_,11.3µm
_04799_,11.3µm
_04828_,11.3µm
_04839_,11.3µm
_05811_,11.3µm
_06451_,11.3µm
_07962_,11.3µm
_08520_,11.3µm
_08601_,11.3µm
_08647_,11.3µm
_08709_,11.3µm
_08719_,11.3µm
_08737_,11.3µm
u_core.u_transform_scheduler_core.tx_dft12_hold_i\[0\]\[8\],11.3µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[0\]\[14\],11.3µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[0\]\[4\],11.3µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[2\]\[15\],11.3µm
u_core.u_transform_scheduler_core.u_tdiq_output_cp_insert.responses_left\[6\],11.3µm
_00201_,11.25µm
_00209_,11.25µm
_00428_,11.25µm
_00458_,11.25µm
_00492_,11.25µm
_00560_,11.25µm
_00637_,11.25µm
_00740_,11.25µm
_00898_,11.25µm
_01120_,11.25µm
_01229_,11.25µm
_01348_,11.25µm
_01399_,11.25µm
_01698_,11.25µm
_01709_,11.25µm
_01727_,11.25µm
_01730_,11.25µm
_01801_,11.25µm
_01843_,11.25µm
_01856_,11.25µm
_01998_,11.25µm
_02159_,11.25µm
_02376_,11.25µm
_02449_,11.25µm
_02643_,11.25µm
_02724_,11.25µm
_02740_,11.25µm
_02811_,11.25µm
_02901_,11.25µm
_02905_,11.25µm
_02994_,11.25µm
_03029_,11.25µm
_03048_,11.25µm
_03063_,11.25µm
_03166_,11.25µm
_03335_,11.25µm
_03390_,11.25µm
_03489_,11.25µm
_03502_,11.25µm
_03678_,11.25µm
_03701_,11.25µm
_03805_,11.25µm
_03868_,11.25µm
_03972_,11.25µm
_04291_,11.25µm
_04767_,11.25µm
_04771_,11.25µm
_04901_,11.25µm
_05253_,11.25µm
_05271_,11.25µm
_05328_,11.25µm
_05444_,11.25µm
_05495_,11.25µm
_05612_,11.25µm
_05832_,11.25µm
_05946_,11.25µm
_05968_,11.25µm
_06291_,11.25µm
_06562_,11.25µm
_06890_,11.25µm
_07181_,11.25µm
_07292_,11.25µm
_07526_,11.25µm
_07631_,11.25µm
_07662_,11.25µm
_07800_,11.25µm
_07951_,11.25µm
_08191_,11.25µm
_08273_,11.25µm
_08302_,11.25µm
_08400_,11.25µm
_08423_,11.25µm
_08526_,11.25µm
_08756_,11.25µm
_08805_,11.25µm
_09053_,11.25µm
_09054_,11.25µm
u_core.u_transform_scheduler_core.rx_small_x2_i\[5\],11.25µm
u_core.u_transform_scheduler_core.small_inflight_count\[2\],11.25µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[1\]\[1\],11.25µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.saved_wdata\[24\],11.25µm
u_core.u_transform_scheduler_core.u_tdiq_input_cp_remove.cp_length_reg\[0\],11.25µm
net67,11.25µm
_00448_,11.2µm
_00801_,11.2µm
_01000_,11.2µm
_01092_,11.2µm
_01242_,11.2µm
_01401_,11.2µm
_01713_,11.2µm
_01889_,11.2µm
_01951_,11.2µm
_02069_,11.2µm
_02126_,11.2µm
_02128_,11.2µm
_02136_,11.2µm
_02149_,11.2µm
_02316_,11.2µm
_02342_,11.2µm
_02361_,11.2µm
_02483_,11.2µm
_02499_,11.2µm
_02781_,11.2µm
_02857_,11.2µm
_02914_,11.2µm
_02923_,11.2µm
_02980_,11.2µm
_03265_,11.2µm
_03359_,11.2µm
_03527_,11.2µm
_03546_,11.2µm
_03682_,11.2µm
_03757_,11.2µm
_04113_,11.2µm
_04281_,11.2µm
_04350_,11.2µm
_04379_,11.2µm
_04425_,11.2µm
_04588_,11.2µm
_04995_,11.2µm
_05157_,11.2µm
_05283_,11.2µm
_05424_,11.2µm
_05480_,11.2µm
_05525_,11.2µm
_05668_,11.2µm
_05739_,11.2µm
_05899_,11.2µm
_05929_,11.2µm
_06097_,11.2µm
_06100_,11.2µm
_06265_,11.2µm
_06330_,11.2µm
_06483_,11.2µm
_06507_,11.2µm
_06575_,11.2µm
_06926_,11.2µm
_07059_,11.2µm
_07183_,11.2µm
_07207_,11.2µm
_07275_,11.2µm
_07286_,11.2µm
_07500_,11.2µm
_07552_,11.2µm
_07653_,11.2µm
_08257_,11.2µm
_08359_,11.2µm
_08928_,11.2µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[2\]\[1\],11.2µm
u_core.u_transform_scheduler_core.u_fft128_modulo_controller.fetch_x1_q\[15\],11.2µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_half_sum_i_reg\[0\],11.2µm
_00124_,11.14µm
_05662_,11.125µm
_02641_,11.045µm
_05052_,10.97µm
_05793_,10.92µm
_05425_,10.79µm
_08415_,10.79µm
_08565_,10.79µm
u_core.input_left\[6\],10.79µm
u_core.u_transform_scheduler_core.tx_dft12_hold_i\[0\]\[13\],10.79µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.twiddle_im_reg\[1\],10.79µm
din_PD[4],10.75µm
_02784_,10.74µm
_03925_,10.74µm
_03985_,10.74µm
_04155_,10.74µm
_04533_,10.74µm
_05120_,10.74µm
_05465_,10.74µm
_06264_,10.74µm
_07514_,10.74µm
_07600_,10.74µm
_07982_,10.74µm
_08258_,10.74µm
_08369_,10.74µm
_08547_,10.74µm
_08581_,10.74µm
_08718_,10.74µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[0\]\[10\],10.74µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.saved_wdata\[22\],10.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.high_rq_reg\[12\],10.74µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_input_i_reg\[8\],10.74µm
din_PU[6],10.715µm
_00014_,10.69µm
_00055_,10.69µm
_00058_,10.69µm
_00102_,10.69µm
_00126_,10.69µm
_00133_,10.69µm
_00224_,10.69µm
_00233_,10.69µm
_00252_,10.69µm
_00290_,10.69µm
_00518_,10.69µm
_00758_,10.69µm
_00799_,10.69µm
_00908_,10.69µm
_00923_,10.69µm
_01031_,10.69µm
_01065_,10.69µm
_01073_,10.69µm
_01085_,10.69µm
_01250_,10.69µm
_01251_,10.69µm
_01420_,10.69µm
_01513_,10.69µm
_01564_,10.69µm
_01571_,10.69µm
_01608_,10.69µm
_01615_,10.69µm
_01831_,10.69µm
_01873_,10.69µm
_01902_,10.69µm
_01944_,10.69µm
_01964_,10.69µm
_02028_,10.69µm
_02299_,10.69µm
_02714_,10.69µm
_02767_,10.69µm
_02841_,10.69µm
_02900_,10.69µm
_02951_,10.69µm
_02961_,10.69µm
_02993_,10.69µm
_03027_,10.69µm
_03127_,10.69µm
_03298_,10.69µm
_03310_,10.69µm
_03476_,10.69µm
_03614_,10.69µm
_04035_,10.69µm
_04110_,10.69µm
_04286_,10.69µm
_04546_,10.69µm
_04703_,10.69µm
_04931_,10.69µm
_04940_,10.69µm
_05101_,10.69µm
_05182_,10.69µm
_05311_,10.69µm
_05342_,10.69µm
_05382_,10.69µm
_05475_,10.69µm
_05609_,10.69µm
_05647_,10.69µm
_05785_,10.69µm
_05897_,10.69µm
_05910_,10.69µm
_05950_,10.69µm
_06040_,10.69µm
_06639_,10.69µm
_07394_,10.69µm
_07428_,10.69µm
_07768_,10.69µm
_07824_,10.69µm
_08021_,10.69µm
_08128_,10.69µm
_08217_,10.69µm
_08335_,10.69µm
_08448_,10.69µm
_08540_,10.69µm
_08853_,10.69µm
_08896_,10.69µm
u_core.u_transform_scheduler_core.tx_dft12_hold_i\[2\]\[2\],10.69µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[2\]\[9\],10.69µm
u_core.u_transform_scheduler_core.u_fft_scratch_sram.saved_wdata\[25\],10.69µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_i_reg\[10\],10.69µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_half_sum_q_reg\[8\],10.69µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_q_reg\[14\],10.69µm
_00000_,10.64µm
_00032_,10.64µm
_00199_,10.64µm
_00322_,10.64µm
_00419_,10.64µm
_00583_,10.64µm
_00703_,10.64µm
_00712_,10.64µm
_00777_,10.64µm
_00889_,10.64µm
_00990_,10.64µm
_01020_,10.64µm
_01107_,10.64µm
_01155_,10.64µm
_01272_,10.64µm
_01431_,10.64µm
_01465_,10.64µm
_01493_,10.64µm
_01587_,10.64µm
_01591_,10.64µm
_01790_,10.64µm
_01882_,10.64µm
_01971_,10.64µm
_02035_,10.64µm
_02160_,10.64µm
_02186_,10.64µm
_02194_,10.64µm
_02206_,10.64µm
_02241_,10.64µm
_02250_,10.64µm
_02309_,10.64µm
_02399_,10.64µm
_02462_,10.64µm
_02472_,10.64µm
_02642_,10.64µm
_02670_,10.64µm
_02731_,10.64µm
_02734_,10.64µm
_02790_,10.64µm
_02806_,10.64µm
_02881_,10.64µm
_02959_,10.64µm
_03042_,10.64µm
_03075_,10.64µm
_03112_,10.64µm
_03221_,10.64µm
_03332_,10.64µm
_03565_,10.64µm
_03567_,10.64µm
_03594_,10.64µm
_03681_,10.64µm
_03835_,10.64µm
_03839_,10.64µm
_03941_,10.64µm
_04145_,10.64µm
_04290_,10.64µm
_04439_,10.64µm
_04577_,10.64µm
_04661_,10.64µm
_04670_,10.64µm
_04976_,10.64µm
_04988_,10.64µm
_05025_,10.64µm
_05131_,10.64µm
_05214_,10.64µm
_05285_,10.64µm
_05375_,10.64µm
_05386_,10.64µm
_05777_,10.64µm
_05780_,10.64µm
_05853_,10.64µm
_06020_,10.64µm
_06064_,10.64µm
_06209_,10.64µm
_06267_,10.64µm
_06290_,10.64µm
_06382_,10.64µm
_06529_,10.64µm
_06578_,10.64µm
_06590_,10.64µm
_06780_,10.64µm
_06971_,10.64µm
_06985_,10.64µm
_07019_,10.64µm
_07057_,10.64µm
_07225_,10.64µm
_07300_,10.64µm
_07401_,10.64µm
_07407_,10.64µm
_07423_,10.64µm
_07488_,10.64µm
_07521_,10.64µm
_07611_,10.64µm
_07707_,10.64µm
_07834_,10.64µm
_07851_,10.64µm
_07869_,10.64µm
_07881_,10.64µm
_07941_,10.64µm
_08026_,10.64µm
_08135_,10.64µm
_08201_,10.64µm
_08293_,10.64µm
_08412_,10.64µm
_08459_,10.64µm
_08474_,10.64µm
_08506_,10.64µm
_08548_,10.64µm
_08579_,10.64µm
_08584_,10.64µm
_08621_,10.64µm
_08735_,10.64µm
_08743_,10.64µm
_08787_,10.64µm
_08897_,10.64µm
_09083_,10.64µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[0\]\[7\],10.64µm
_04071_,10.46µm
_03083_,10.43µm
_05209_,10.38µm
_05665_,10.24µm
_04222_,10.23µm
_04224_,10.23µm
u_core.u_transform_scheduler_core.tx_dft12_hold_i\[0\]\[3\],10.23µm
_02421_,10.18µm
_03175_,10.18µm
_03199_,10.18µm
_04684_,10.18µm
_05514_,10.18µm
_06937_,10.18µm
_07747_,10.18µm
_07901_,10.18µm
_08260_,10.18µm
_08319_,10.18µm
_08451_,10.18µm
_08542_,10.18µm
_08915_,10.18µm
u_core.u_transform_scheduler_core.mod_x0_i\[0\],10.18µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[1\]\[5\],10.18µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_twiddle_re_reg\[6\],10.18µm
_00010_,10.13µm
_00026_,10.13µm
_00093_,10.13µm
_00306_,10.13µm
_00310_,10.13µm
_00513_,10.13µm
_00545_,10.13µm
_00555_,10.13µm
_00604_,10.13µm
_00616_,10.13µm
_00636_,10.13µm
_00683_,10.13µm
_00693_,10.13µm
_00695_,10.13µm
_00732_,10.13µm
_00837_,10.13µm
_00896_,10.13µm
_00900_,10.13µm
_00956_,10.13µm
_00965_,10.13µm
_00983_,10.13µm
_01199_,10.13µm
_01232_,10.13µm
_01235_,10.13µm
_01349_,10.13µm
_01413_,10.13µm
_01629_,10.13µm
_01682_,10.13µm
_01690_,10.13µm
_01693_,10.13µm
_01825_,10.13µm
_01958_,10.13µm
_01963_,10.13µm
_01966_,10.13µm
_02200_,10.13µm
_02794_,10.13µm
_02796_,10.13µm
_02810_,10.13µm
_02915_,10.13µm
_02960_,10.13µm
_03049_,10.13µm
_03160_,10.13µm
_03195_,10.13µm
_03523_,10.13µm
_03888_,10.13µm
_04020_,10.13µm
_04366_,10.13µm
_04408_,10.13µm
_04409_,10.13µm
_04805_,10.13µm
_04840_,10.13µm
_05219_,10.13µm
_05516_,10.13µm
_05706_,10.13µm
_05708_,10.13µm
_05728_,10.13µm
_05733_,10.13µm
_05846_,10.13µm
_05914_,10.13µm
_05984_,10.13µm
_06241_,10.13µm
_06579_,10.13µm
_06605_,10.13µm
_06827_,10.13µm
_06829_,10.13µm
_06831_,10.13µm
_06893_,10.13µm
_07030_,10.13µm
_07120_,10.13µm
_07329_,10.13µm
_07357_,10.13µm
_07405_,10.13µm
_07473_,10.13µm
_07660_,10.13µm
_07763_,10.13µm
_08152_,10.13µm
_08313_,10.13µm
_08429_,10.13µm
_08473_,10.13µm
_08594_,10.13µm
_08652_,10.13µm
_09024_,10.13µm
_09082_,10.13µm
_09108_,10.13µm
u_core.u_transform_scheduler_core.ofdm_sample_i\[0\],10.13µm
u_core.u_transform_scheduler_core.tx_dout\[4\],10.13µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.low_ii_reg\[0\],10.13µm
_00151_,10.08µm
_00244_,10.08µm
_00266_,10.08µm
_00314_,10.08µm
_00327_,10.08µm
_00461_,10.08µm
_00489_,10.08µm
_00496_,10.08µm
_00504_,10.08µm
_00523_,10.08µm
_00529_,10.08µm
_00535_,10.08µm
_00592_,10.08µm
_00646_,10.08µm
_00736_,10.08µm
_00825_,10.08µm
_00899_,10.08µm
_00910_,10.08µm
_00935_,10.08µm
_00966_,10.08µm
_01104_,10.08µm
_01237_,10.08µm
_01256_,10.08µm
_01258_,10.08µm
_01333_,10.08µm
_01406_,10.08µm
_01462_,10.08µm
_01662_,10.08µm
_01679_,10.08µm
_01760_,10.08µm
_01822_,10.08µm
_02029_,10.08µm
_02040_,10.08µm
_02060_,10.08µm
_02100_,10.08µm
_02134_,10.08µm
_02158_,10.08µm
_02392_,10.08µm
_02398_,10.08µm
_02446_,10.08µm
_02486_,10.08µm
_02498_,10.08µm
_02509_,10.08µm
_02527_,10.08µm
_02555_,10.08µm
_02656_,10.08µm
_02879_,10.08µm
_02890_,10.08µm
_02896_,10.08µm
_02954_,10.08µm
_02957_,10.08µm
_02977_,10.08µm
_03061_,10.08µm
_03155_,10.08µm
_03167_,10.08µm
_03173_,10.08µm
_03203_,10.08µm
_03304_,10.08µm
_03317_,10.08µm
_03326_,10.08µm
_03416_,10.08µm
_03439_,10.08µm
_03456_,10.08µm
_03553_,10.08µm
_03555_,10.08µm
_03579_,10.08µm
_03591_,10.08µm
_03639_,10.08µm
_03674_,10.08µm
_03677_,10.08µm
_03718_,10.08µm
_03720_,10.08µm
_03725_,10.08µm
_03729_,10.08µm
_03763_,10.08µm
_04005_,10.08µm
_04031_,10.08µm
_04280_,10.08µm
_04451_,10.08µm
_04547_,10.08µm
_04694_,10.08µm
_04764_,10.08µm
_04917_,10.08µm
_04960_,10.08µm
_05341_,10.08µm
_05421_,10.08µm
_05448_,10.08µm
_05537_,10.08µm
_05555_,10.08µm
_05585_,10.08µm
_05634_,10.08µm
_05679_,10.08µm
_05711_,10.08µm
_05735_,10.08µm
_05896_,10.08µm
_05945_,10.08µm
_06053_,10.08µm
_06080_,10.08µm
_06087_,10.08µm
_06107_,10.08µm
_06122_,10.08µm
_06198_,10.08µm
_06359_,10.08µm
_06383_,10.08µm
_06463_,10.08µm
_06514_,10.08µm
_06515_,10.08µm
_06565_,10.08µm
_06614_,10.08µm
_06673_,10.08µm
_06681_,10.08µm
_07309_,10.08µm
_07408_,10.08µm
_07466_,10.08µm
_07598_,10.08µm
_07683_,10.08µm
_07687_,10.08µm
_07808_,10.08µm
_07863_,10.08µm
_08010_,10.08µm
_08031_,10.08µm
_08059_,10.08µm
_08097_,10.08µm
_08111_,10.08µm
_08231_,10.08µm
_08232_,10.08µm
_08272_,10.08µm
_08290_,10.08µm
_08320_,10.08µm
_08465_,10.08µm
_08468_,10.08µm
_08470_,10.08µm
_08507_,10.08µm
_08645_,10.08µm
_08706_,10.08µm
_08727_,10.08µm
_08766_,10.08µm
_08768_,10.08µm
_08783_,10.08µm
_08788_,10.08µm
_08790_,10.08µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.premultiply_x0_q_reg\[13\],10.08µm
u_core.u_transform_scheduler_core.mod_x0_q\[4\],9.77µm
_04235_,9.67µm
_04557_,9.67µm
_08014_,9.67µm
_08455_,9.67µm
_01184_,9.62µm
_03761_,9.62µm
_04029_,9.62µm
_04749_,9.62µm
_05049_,9.62µm
_05449_,9.62µm
_05526_,9.62µm
_05840_,9.62µm
_06200_,9.62µm
_07438_,9.62µm
_07528_,9.62µm
_07594_,9.62µm
_07954_,9.62µm
_08159_,9.62µm
_08349_,9.62µm
_08523_,9.62µm
_08555_,9.62µm
u_core.u_transform_scheduler_core.mod_x0_i\[5\],9.62µm
u_core.u_transform_scheduler_core.u_mixed_radix_butterfly.arithmetic_x0_i_reg\[0\],9.62µm
_00084_,9.57µm
_00098_,9.57µm
_00105_,9.57µm
_00143_,9.57µm
_00234_,9.57µm
_00235_,9.57µm
_00245_,9.57µm
_00254_,9.57µm
_00334_,9.57µm
_00426_,9.57µm
_00511_,9.57µm
_00522_,9.57µm
_00863_,9.57µm
_01097_,9.57µm
_01189_,9.57µm
_01193_,9.57µm
_01371_,9.57µm
_01382_,9.57µm
_01396_,9.57µm
_01402_,9.57µm
_01409_,9.57µm
_01443_,9.57µm
_01470_,9.57µm
_01471_,9.57µm
_01650_,9.57µm
_01668_,9.57µm
_01673_,9.57µm
_01702_,9.57µm
_01771_,9.57µm
_01798_,9.57µm
_01826_,9.57µm
_01935_,9.57µm
_02016_,9.57µm
_02254_,9.57µm
_02728_,9.57µm
_02898_,9.57µm
_02934_,9.57µm
_02940_,9.57µm
_02941_,9.57µm
_03001_,9.57µm
_03270_,9.57µm
_03280_,9.57µm
_03286_,9.57µm
_03391_,9.57µm
_03559_,9.57µm
_03561_,9.57µm
_03744_,9.57µm
_03803_,9.57µm
_04278_,9.57µm
_04579_,9.57µm
_04891_,9.57µm
_05046_,9.57µm
_05068_,9.57µm
_05263_,9.57µm
_05275_,9.57µm
_05394_,9.57µm
_05888_,9.57µm
_05937_,9.57µm
_06242_,9.57µm
_06252_,9.57µm
_06462_,9.57µm
_06567_,9.57µm
_06643_,9.57µm
_06671_,9.57µm
_06798_,9.57µm
_07255_,9.57µm
_07277_,9.57µm
_07398_,9.57µm
_07658_,9.57µm
_07886_,9.57µm
_07909_,9.57µm
_07981_,9.57µm
_08178_,9.57µm
_08678_,9.57µm
_08864_,9.57µm
_08924_,9.57µm
_08983_,9.57µm
_09070_,9.57µm
_09104_,9.57µm
_09105_,9.57µm
u_core.u_transform_scheduler_core.fifo_x0_q\[0\]\[2\],9.57µm
u_core.u_transform_scheduler_core.rx_state\[4\],9.57µm
_00037_,9.52µm
_00083_,9.52µm
_00131_,9.52µm
_00294_,9.52µm
_00328_,9.52µm
_00408_,9.52µm
_00420_,9.52µm
_00446_,9.52µm
_00497_,9.52µm
_00507_,9.52µm
_00558_,9.52µm
_00699_,9.52µm
_00794_,9.52µm
_00902_,9.52µm
_00934_,9.52µm
_00936_,9.52µm
_00945_,9.52µm
_00962_,9.52µm
_01019_,9.52µm
_01032_,9.52µm
_01087_,9.52µm
_01115_,9.52µm
_01360_,9.52µm
_01485_,9.52µm
_01522_,9.52µm
_01697_,9.52µm
_01728_,9.52µm
_01737_,9.52µm
_01752_,9.52µm
_01809_,9.52µm
_01846_,9.52µm
_01858_,9.52µm
_01877_,9.52µm
_01890_,9.52µm
_01948_,9.52µm
_02031_,9.52µm
_02037_,9.52µm
_02057_,9.52µm
_02073_,9.52µm
_02111_,9.52µm
_02130_,9.52µm
_02197_,9.52µm
_02227_,9.52µm
_02354_,9.52µm
_02431_,9.52µm
_02467_,9.52µm
_02481_,9.52µm
_02518_,9.52µm
_02612_,9.52µm
_02647_,9.52µm
_02765_,9.52µm
_02783_,9.52µm
_02795_,9.52µm
_02859_,9.52µm
_02895_,9.52µm
_02920_,9.52µm
_02921_,9.52µm
_02936_,9.52µm
_02953_,9.52µm
_02972_,9.52µm
_03128_,9.52µm
_03206_,9.52µm
_03256_,9.52µm
_03287_,9.52µm
_03382_,9.52µm
_03669_,9.52µm
_03675_,9.52µm
_03680_,9.52µm
_03754_,9.52µm
_03769_,9.52µm
_03780_,9.52µm
_03804_,9.52µm
_03848_,9.52µm
_04094_,9.52µm
_04144_,9.52µm
_04189_,9.52µm
_04335_,9.52µm
_04374_,9.52µm
_04413_,9.52µm
_04426_,9.52µm
_04570_,9.52µm
_04698_,9.52µm
_04751_,9.52µm
_04769_,9.52µm
_04832_,9.52µm
_04902_,9.52µm
_04985_,9.52µm
_04987_,9.52µm
_05013_,9.52µm
_05040_,9.52µm
_05074_,9.52µm
_05077_,9.52µm
_05083_,9.52µm
_05119_,9.52µm
_05142_,9.52µm
_05165_,9.52µm
_05269_,9.52µm
_05278_,9.52µm
_05296_,9.52µm
_05327_,9.52µm
_05363_,9.52µm
_05562_,9.52µm
_05653_,9.52µm
_05697_,9.52µm
_05757_,9.52µm
_05771_,9.52µm
_05801_,9.52µm
_05802_,9.52µm
_05807_,9.52µm
_05940_,9.52µm
_05995_,9.52µm
_06041_,9.52µm
_06060_,9.52µm
_06148_,9.52µm
_06166_,9.52µm
_06177_,9.52µm
_06183_,9.52µm
_06269_,9.52µm
_06298_,9.52µm
_06312_,9.52µm
_06354_,9.52µm
_06468_,9.52µm
_06490_,9.52µm
_06547_,9.52µm
_06550_,9.52µm
_06573_,9.52µm
_06583_,9.52µm
_06778_,9.52µm
_06789_,9.52µm
_06848_,9.52µm
_06963_,9.52µm
_06967_,9.52µm
_07106_,9.52µm
_07174_,9.52µm
_07204_,9.52µm
_07248_,9.52µm
_07262_,9.52µm
_07369_,9.52µm
_07494_,9.52µm
_07523_,9.52µm
_07540_,9.52µm
_07582_,9.52µm
_07750_,9.52µm
_07762_,9.52µm
_07779_,9.52µm
_07846_,9.52µm
_08070_,9.52µm
_08496_,9.52µm
_08623_,9.52µm
_08660_,9.52µm
_08665_,9.52µm
_08684_,9.52µm
_08738_,9.52µm
_08749_,9.52µm
_08771_,9.52µm
_08772_,9.52µm
_08782_,9.52µm
_08806_,9.52µm
_08810_,9.52µm
_08818_,9.52µm
_08939_,9.52µm
_08982_,9.52µm
_09001_,9.52µm
_09014_,9.52µm
_09036_,9.52µm
_09048_,9.52µm
_09099_,9.52µm
u_core.u_transform_scheduler_core.tx_dft12_hold_i\[0\]\[5\],9.52µm
u_core.u_transform_scheduler_core.tx_dft12_hold_q\[0\]\[11\],9.52µm
din_PD[7],9.43µm
_05154_,9.17µm
_04187_,9.11µm
_04264_,9.11µm
_04470_,9.11µm
_04691_,9.11µm
_04737_,9.11µm
_07535_,9.11µm
u_core.u_transform_scheduler_core.mod_x0_i\[6\],9.11µm
_01022_,9.06µm
_02544_,9.06µm
_02967_,9.06µm
_03099_,9.06µm
_03344_,9.06µm
_03735_,9.06µm
_03739_,9.06µm
_04016_,9.06µm
_04267_,9.06µm
_04337_,9.06µm
_04349_,9.06µm
_04352_,9.06µm
_04598_,9.06µm
_06708_,9.06µm
_07445_,9.06µm
_07607_,9.06µm
_07615_,9.06µm
_07984_,9.06µm
_08440_,9.06µm
_08653_,9.06µm
_08712_,9.06µm
_08946_,9.06µm
_00095_,9.01µm
_00121_,9.01µm
_00283_,9.01µm
_00356_,9.01µm
_00376_,9.01µm
_00501_,9.01µm
_00521_,9.01µm
_00527_,9.01µm
_00672_,9.01µm
_00689_,9.01µm
_00720_,9.01µm
_00802_,9.01µm
_00819_,9.01µm
_00836_,9.01µm
_00892_,9.01µm
_00950_,9.01µm
_00967_,9.01µm
_00986_,9.01µm
_01010_,9.01µm
_01069_,9.01µm
_01112_,9.01µm
_01141_,9.01µm
_01165_,9.01µm
_01175_,9.01µm
_01277_,9.01µm
_01306_,9.01µm
_01377_,9.01µm
_01391_,9.01µm
_01411_,9.01µm
_01480_,9.01µm
_01507_,9.01µm
_01508_,9.01µm
_01512_,9.01µm
_01545_,9.01µm
_01721_,9.01µm
_01757_,9.01µm
_01773_,9.01µm
_01851_,9.01µm
_01917_,9.01µm
_01932_,9.01µm
_01974_,9.01µm
_02001_,9.01µm
_02511_,9.01µm
_02686_,9.01µm
_02726_,9.01µm
_02730_,9.01µm
_02807_,9.01µm
_02832_,9.01µm
_02913_,9.01µm
_02992_,9.01µm
_03093_,9.01µm
_03153_,9.01µm
_03259_,9.01µm
_03305_,9.01µm
_03425_,9.01µm
_03435_,9.01µm
_03470_,9.01µm
_03550_,9.01µm
_03597_,9.01µm
_03601_,9.01µm
_03904_,9.01µm
_04041_,9.01µm
_04074_,9.01µm
_04564_,9.01µm
_04754_,9.01µm
_04873_,9.01µm
_05000_,9.01µm
_05029_,9.01µm
_05208_,9.01µm
_05330_,9.01µm
_05427_,9.01µm
_05436_,9.01µm
_05726_,9.01µm
_05884_,9.01µm
_05923_,9.01µm
_05982_,9.01µm
_06039_,9.01µm
_06228_,9.01µm
_06723_,9.01µm
_06810_,9.01µm
_06812_,9.01µm
_06855_,9.01µm
_06927_,9.01µm
_07066_,9.01µm
_07076_,9.01µm
_07099_,9.01µm
_07101_,9.01µm
_07107_,9.01µm
_07135_,9.01µm
_07416_,9.01µm
_07520_,9.01µm
_07539_,9.01µm
_07632_,9.01µm
_07672_,9.01µm
_07729_,9.01µm
_07794_,9.01µm
_07952_,9.01µm
_07959_,9.01µm
_08461_,9.01µm
_08478_,9.01µm
_08740_,9.01µm
_08989_,9.01µm
_08999_,9.01µm
_09093_,9.01µm
u_core.u_transform_scheduler_core.fifo_x0_q\[0\]\[3\],9.01µm
_00003_,8.96µm
_00025_,8.96µm
_00031_,8.96µm
_00135_,8.96µm
_00204_,8.96µm
_00392_,8.96µm
_00485_,8.96µm
_00557_,8.96µm
_00643_,8.96µm
_00698_,8.96µm
_00783_,8.96µm
_00796_,8.96µm
_00811_,8.96µm
_00816_,8.96µm
_00879_,8.96µm
_00893_,8.96µm
_00940_,8.96µm
_00994_,8.96µm
_01074_,8.96µm
_01083_,8.96µm
_01105_,8.96µm
_01140_,8.96µm
_01202_,8.96µm
_01238_,8.96µm
_01264_,8.96µm
_01311_,8.96µm
_01464_,8.96µm
_01509_,8.96µm
_01514_,8.96µm
_01624_,8.96µm
_01885_,8.96µm
_01936_,8.96µm
_02065_,8.96µm
_02071_,8.96µm
_02211_,8.96µm
_02305_,8.96µm
_02340_,8.96µm
_02365_,8.96µm
_02397_,8.96µm
_02803_,8.96µm
_02816_,8.96µm
_02831_,8.96µm
_02872_,8.96µm
_02878_,8.96µm
_02950_,8.96µm
_03031_,8.96µm
_03086_,8.96µm
_03095_,8.96µm
_03122_,8.96µm
_03138_,8.96µm
