net,length_um
_04934_,371.89µm
_04596_,370.92µm
_05918_,370.72µm
clknet_leaf_46_clk_regs,368.47µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[0\],367.36µm
clknet_leaf_93_clk_regs,367.04µm
_03933_,366.9µm
clknet_leaf_86_clk_regs,366.84µm
u_transform_scheduler_core.bf_X0_i\[4\],366.44µm
_00402_,365.83µm
clknet_leaf_63_clk_regs,365.67µm
_05487_,365.27µm
u_transform_scheduler_core.bf_X0_i\[1\],364.96µm
_05555_,364.76µm
clknet_leaf_76_clk_regs,364.45µm
_03880_,364µm
_02967_,363.89µm
_02559_,363.03µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[11\],363.03µm
u_transform_scheduler_core.u_fft128_modulo_controller.fetch_j\[5\],362.54µm
_03407_,362.32µm
clknet_leaf_82_clk_regs,361.92µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_re_reg\[13\],361.86µm
clknet_leaf_89_clk_regs,361.39µm
_03304_,361.2µm
clknet_leaf_8_clk_regs,360.98µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_product_im_reg\[10\],360.79µm
_02972_,360.31µm
_03485_,360.13µm
clknet_leaf_9_clk_regs,359.41µm
clknet_leaf_50_clk_regs,358.49µm
_05688_,357.68µm
_04593_,357.43µm
_03262_,356.87µm
clknet_leaf_6_clk_regs,356.51µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_half_sum_i_reg\[0\],356.26µm
_04645_,355.29µm
_02988_,354.88µm
u_transform_scheduler_core.u_mixed_radix_butterfly.combine_x0_q_reg\[3\],353.51µm
_04210_,353µm
_06241_,352.85µm
clknet_leaf_74_clk_regs,352.79µm
_04684_,352.39µm
_04143_,351.83µm
_04944_,351.78µm
clknet_leaf_62_clk_regs,351.29µm
_07491_,350.66µm
_04988_,350.35µm
_04571_,349.59µm
_03324_,349.49µm
clknet_leaf_23_clk_regs,349.43µm
_05682_,349.23µm
clknet_leaf_36_clk_regs,349.02µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[15\],348.32µm
clknet_leaf_55_clk_regs,347.75µm
u_transform_scheduler_core.fft128_ofdm_active,347.3µm
_05525_,347.25µm
_04159_,346.94µm
_07042_,346.13µm
clknet_leaf_72_clk_regs,344.49µm
clknet_leaf_4_clk_regs,343.12µm
clknet_leaf_94_clk_regs,341.59µm
clknet_leaf_49_clk_regs,341.03µm
_06151_,340.93µm
_08079_,340.48µm
clknet_leaf_18_clk_regs,340.42µm
clknet_leaf_24_clk_regs,338.18µm
_04332_,338.08µm
clknet_leaf_81_clk_regs,337.42µm
clknet_leaf_59_clk_regs,337.21µm
_06755_,336.61µm
u_transform_scheduler_core.u_fft_scratch_sram.macro_wdata\[14\],336.05µm
_05999_,335.59µm
_00041_,335.44µm
core_X2_i\[5\],335.08µm
core_X2_q\[8\],335.03µm
_02137_,334.98µm
_05703_,333.86µm
clknet_leaf_7_clk_regs,333.8µm
_02450_,333.3µm
_04577_,332.71µm
_04136_,332.69µm
clknet_leaf_25_clk_regs,332.58µm
_04996_,332.43µm
clknet_leaf_17_clk_regs,331.41µm
clknet_leaf_45_clk_regs,331µm
_05180_,330.45µm
_05508_,329.89µm
net113,329.68µm
clknet_leaf_85_clk_regs,329.68µm
_08975_,329.38µm
clknet_leaf_2_clk_regs,329.32µm
clknet_leaf_97_clk_regs,329.27µm
_05162_,328.87µm
u_transform_scheduler_core.fifo_radix3\[0\]\[0\],328.41µm
_06322_,328.31µm
_02770_,327.7µm
_06138_,327.24µm
