test,output_sample,rtl_i_code,rtl_q_code,rtl_i_saturated,rtl_q_saturated,numpy_i,numpy_q
2,88,-8,1,-8,1,-0.05948971506657906,0.01075357793561884
2,89,-8,-2,-8,-2,-0.06001547277608957,-0.010297027223910436
2,90,-7,-4,-7,-4,-0.052808169237123274,-0.029427247559762348
2,91,-6,-6,-6,-6,-0.03965038196849381,-0.043902571808309816
2,92,-3,-7,-3,-7,-0.02318193104289952,-0.05214027079916776
2,93,-1,-7,-1,-7,-0.006264426440543796,-0.053904201478567317
2,94,1,-7,1,-7,0.008646758926601807,-0.05018269463234201
2,95,2,-6,2,-6,0.01997758033693297,-0.04279831660465474
2,96,3,-5,3,-5,0.02725463611265071,-0.03385971389958456
2,97,3,-4,3,-4,0.03103183941908519,-0.02519904203876036
2,98,4,-3,4,-3,0.03256062633343914,-0.017936230009752238
2,99,4,-2,4,-2,0.03330228324293662,-0.012274710036523072
2,100,4,-1,4,-1,0.03441777763579676,-0.007571657091701523
2,101,4,-1,4,-1,0.03637302817329808,-0.002654568564502858
2,102,4,0,4,0,0.038765557247696286,0.003707279308610669
2,103,5,1,5,1,0.04042002223688773,0.012307801667862715
2,104,4,3,4,3,0.039729723692451965,0.023123409742595934
2,105,4,4,4,4,0.03515625,0.03515625
2,106,3,6,3,6,0.025756053271470965,0.04655459540501443
2,107,1,7,1,7,0.01159188358255758,0.054992869644459264
2,108,-1,7,-1,7,-0.006088288600473814,0.05822600836027547
2,109,-4,7,-4,7,-0.024967519816293707,0.05468479402643662
2,110,-6,5,-6,5,-0.04206216038223509,0.043962585362188
2,111,-7,3,-7,3,-0.054329301338027505,0.027064073911706368
2,112,-8,0,-8,0,-0.059344415878145096,0.006339181819696643
2,113,-8,-2,-8,-2,-0.05589106219517474,-0.014902014814849922
2,114,-6,-5,-6,-5,-0.0443186009307574,-0.03302141506349395
2,115,-4,-6,-4,-6,-0.026572650622638645,-0.044798909303980894
2,116,-1,-7,-1,-7,-0.0058756360348190435,-0.048127489825864386
2,117,1,-6,1,-6,0.013885343479304164,-0.042498693121562944
2,118,3,-4,3,-4,0.028937540532457583,-0.029162589704861255
2,119,4,-2,4,-2,0.03640159571115524,-0.010917091384629244
2,120,4,1,4,1,0.034899978251986194,0.008436441023364011
2,121,3,3,3,3,0.024859222776089564,0.024859222776089564
2,122,1,4,1,4,0.00843644102336402,0.03489997825198619
2,123,-2,4,-2,4,-0.010917091384629232,0.03640159571115525
2,124,-4,3,-4,3,-0.029162589704861255,0.028937540532457597
2,125,-6,1,-6,1,-0.042498693121562944,0.01388534347930416
2,126,-7,-1,-7,-1,-0.04812748982586438,-0.005875636034819037
2,127,-6,-4,-6,-4,-0.044798909303980894,-0.02657265062263864
2,128,-5,-6,-5,-6,-0.03302141506349396,-0.04431860093075741
2,129,-2,-8,-2,-8,-0.014902014814849922,-0.05589106219517475
2,130,0,-8,0,-8,0.006339181819696643,-0.0593444158781451
2,131,3,-7,3,-7,0.02706407391170636,-0.054329301338027505
2,132,5,-6,5,-6,0.043962585362188,-0.04206216038223509
2,133,7,-4,7,-4,0.054684794026436626,-0.0249675198162937
2,134,7,-1,7,-1,0.05822600836027548,-0.006088288600473814
